Annee,Mois,Date Debut,Date Fin,Duree Vague,No,Tmax enregistree,Intensite vague,Aire,Severite
1872,6,28-Jun-1872,02-Jul-1872,5,1,27.49999999999999,1.1999999999999957,6.383333333333297,2.553333333333319
1872,7,15-Jul-1872,18-Jul-1872,4,2,27.699999999999992,1.279999999999997,4.966666666666654,1.9866666666666617
1876,8,04-Aug-1876,08-Aug-1876,5,1,27.133333333333336,1.0533333333333346,5.616666666666674,2.2466666666666697
1878,6,29-Jun-1878,04-Jul-1878,6,1,28.733333333333352,1.693333333333341,11.98333333333342,4.793333333333368
1882,8,03-Aug-1882,07-Aug-1882,5,1,27.000000000000014,1.0000000000000058,5.250000000000043,2.100000000000017
1884,8,16-Aug-1884,22-Aug-1884,7,1,27.066666666666688,1.026666666666675,7.933333333333422,3.173333333333369
1897,7,04-Jul-1897,10-Jul-1897,7,1,27.833333333333325,1.33333333333333,12.816666666666634,5.126666666666654
1901,6,26-Jun-1901,30-Jun-1901,5,1,27.900000000000006,1.3600000000000023,7.950000000000017,3.180000000000007
1901,7,14-Jul-1901,18-Jul-1901,5,2,27.80000000000001,1.3200000000000045,7.883333333333368,3.1533333333333475
1911,7,02-Jul-1911,07-Jul-1911,6,1,28.466666666666672,1.586666666666669,9.916666666666686,3.9666666666666743
1911,7,09-Jul-1911,13-Jul-1911,5,2,27.800000000000008,1.3200000000000032,5.300000000000011,2.1200000000000045
1912,7,03-Jul-1912,11-Jul-1912,9,1,28.066666666666663,1.4266666666666652,16.46666666666664,6.586666666666656
1916,8,18-Aug-1916,22-Aug-1916,5,1,27.033333333333328,1.0133333333333312,4.866666666666646,1.9466666666666583
1917,7,30-Jul-1917,03-Aug-1917,5,1,27.466666666666665,1.186666666666666,6.133333333333326,2.4533333333333305
1921,7,02-Jul-1921,05-Jul-1921,4,1,28.066666666666677,1.4266666666666707,5.700000000000017,2.280000000000007
1921,7,02-Jul-1921,10-Jul-1921,9,2,27.166666666666682,1.0666666666666729,9.06666666666672,3.626666666666688
1921,7,02-Jul-1921,15-Jul-1921,14,3,27.200000000000014,1.0800000000000054,10.033333333333388,4.013333333333355
1921,7,23-Jul-1921,28-Jul-1921,6,4,27.400000000000006,1.1600000000000024,8.450000000000017,3.380000000000007
1931,6,30-Jun-1931,04-Jul-1931,5,1,28.366666666666664,1.5466666666666655,9.066666666666663,3.626666666666665
1933,6,26-Jun-1933,01-Jul-1933,6,1,27.333333333333325,1.13333333333333,7.916666666666629,3.1666666666666514
1944,8,10-Aug-1944,13-Aug-1944,4,1,27.16666666666669,1.0666666666666758,4.266666666666708,1.7066666666666834
1944,8,10-Aug-1944,17-Aug-1944,8,2,27.90000000000002,1.3600000000000079,9.733333333333434,3.8933333333333735
1947,8,12-Aug-1947,15-Aug-1947,4,1,27.533333333333307,1.2133333333333227,4.849999999999945,1.9399999999999777
1948,8,24-Aug-1948,29-Aug-1948,6,1,27.53333333333332,1.2133333333333283,8.116666666666617,3.246666666666647
1949,7,26-Jul-1949,31-Jul-1949,6,1,28.099999999999998,1.439999999999999,9.799999999999983,3.9199999999999933
1953,7,16-Jul-1953,20-Jul-1953,5,1,27.7,1.2799999999999998,8.383333333333326,3.3533333333333304
1953,8,27-Aug-1953,31-Aug-1953,5,2,27.066666666666652,1.0266666666666608,4.749999999999957,1.899999999999983
1955,7,07-Jul-1955,11-Jul-1955,5,1,28.466666666666658,1.5866666666666631,7.499999999999972,2.9999999999999885
1955,7,21-Jul-1955,24-Jul-1955,4,2,27.46666666666665,1.1866666666666603,4.249999999999972,1.6999999999999886
1955,7,31-Jul-1955,03-Aug-1955,4,3,27.133333333333308,1.0533333333333232,4.43333333333328,1.7733333333333121
1959,7,28-Jul-1959,01-Aug-1959,5,1,27.7,1.2799999999999998,7.36666666666666,2.946666666666664
1963,6,29-Jun-1963,03-Jul-1963,5,1,27.333333333333304,1.1333333333333215,5.116666666666575,2.04666666666663
1963,7,23-Jul-1963,30-Jul-1963,8,2,27.899999999999963,1.3599999999999852,15.083333333333087,6.033333333333235
1968,7,14-Jul-1968,20-Jul-1968,7,1,27.433333333333348,1.1733333333333391,11.416666666666714,4.566666666666686
1969,7,15-Jul-1969,19-Jul-1969,5,1,27.166666666666657,1.0666666666666629,5.399999999999977,2.159999999999991
1970,7,24-Jul-1970,01-Aug-1970,9,1,27.700000000000003,1.2800000000000011,16.26666666666668,6.506666666666672
1970,8,09-Aug-1970,17-Aug-1970,9,2,27.533333333333356,1.2133333333333425,13.266666666666794,5.306666666666717
1973,8,28-Aug-1973,04-Sep-1973,8,1,27.033333333333342,1.0133333333333367,10.583333333333371,4.2333333333333485
1975,7,30-Jul-1975,05-Aug-1975,7,1,29.36666666666667,1.9466666666666683,16.966666666666697,6.786666666666679
1977,7,16-Jul-1977,22-Jul-1977,7,1,27.699999999999978,1.2799999999999911,6.5833333333332575,2.633333333333303
1982,7,15-Jul-1982,20-Jul-1982,6,1,27.36666666666667,1.1466666666666683,7.616666666666674,3.0466666666666695
1987,7,08-Jul-1987,15-Jul-1987,8,1,28.699999999999992,1.6799999999999968,14.599999999999966,5.8399999999999865
1988,7,06-Jul-1988,11-Jul-1988,6,1,28.36666666666667,1.5466666666666682,11.166666666666686,4.466666666666674
